linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
69;atualizado;;a235bc6f-e194-452b-a899-d69ddac0e096;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
70;atualizado;;085e4b75-5f52-4ca8-ad90-38b407ff80c1;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
71;ignorado;Pesquisador vinculado a outra universidade.;;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;;;
72;atualizado;;a3d6cb01-e330-4ed6-8a43-af1bb22752ba;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
73;atualizado;;55fe99df-e8f7-42e4-8b1e-8a7fe648cb30;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
74;atualizado;;0af39f09-5f35-4780-a16f-057ab75a0626;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
75;atualizado;;ad581fda-8788-4001-ae93-9350b0e95ea6;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
76;atualizado;;35a1f95f-25f3-4220-9430-a8792c3d5395;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
77;atualizado;;9d76625f-35e0-413d-b6c2-5887e5b9a455;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
78;atualizado;;ada3861f-1ef7-4de2-b84a-4fa9ef26503a;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
79;atualizado;;ce70daf0-27e8-4599-9fa1-42cb2fca5e18;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
80;atualizado;;3110b468-f1da-4af7-bace-7ea23650086d;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
81;atualizado;;916e975a-2b98-4019-95fd-40eda53b8fa2;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
82;atualizado;;e0064e40-ba41-43e0-97f9-bf24af4e5646;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
83;atualizado;;c2e478d5-d48d-4931-af15-86c5ff8375ee;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
84;atualizado;;a092c3b3-b1a1-43b8-b5ed-3e1f3111c8bc;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
85;atualizado;;039c3350-9137-4017-9e67-84d614a68263;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
86;atualizado;;f4e60c3e-2087-4972-b532-39d37f160c8a;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
87;atualizado;;57336090-b2c6-44bc-855e-ee0b232980a9;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
88;atualizado;;1f7c20cf-7b98-423f-a5f9-89e08fa6a8a2;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
89;atualizado;;67db268b-df9e-477b-960c-e06c78ae968a;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
90;atualizado;;17f4ca82-4569-438f-9c7e-0d5a5f67c6d3;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
91;ignorado;Pesquisador vinculado a outra universidade.;;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;;;
92;atualizado;;d281dcb2-a414-48d9-9240-94a94878fc0d;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
93;atualizado;;e2d5d0f1-239b-462f-8a1a-5bb95c17eafe;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
94;atualizado;;1529eb68-af20-4e24-a736-0cb3e695bdbb;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
95;atualizado;;4676b6d0-dda8-4645-a503-5adb3cc81ad4;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
96;atualizado;;1563eddd-4c34-48e2-9b41-7c2782c5a395;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
97;atualizado;;86d50e7c-7432-412a-a219-375b74dcee99;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
98;atualizado;;6d70d37b-5bf1-45f9-857d-aa1ee0a62e9d;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
99;atualizado;;2becad2f-4bc5-475a-8cb4-bd2f07241ba7;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
100;atualizado;;60e63828-2896-467f-818a-79ab31c00491;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
101;atualizado;;897466d5-bc77-412a-9b8e-e340fb87dedf;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
102;atualizado;;d843a2a5-14d4-4d4e-ab02-f0bb674f76ca;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
103;atualizado;;8f21e93a-a0b0-41b4-aac6-275a7061c6eb;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
104;atualizado;;2b9596a9-af0c-4b30-ade4-08eddbb47fa4;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
105;atualizado;;07c4e990-90d5-480c-8217-51b59245e0ae;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
