linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
55;atualizado;;b9b2d3c8-c4ca-49c0-84a5-440e88f716a6;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
56;atualizado;;53d5ea94-17ea-4559-a3ff-4354d6f0cdd8;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
57;atualizado;;75d27eb6-c58d-4917-959c-6a47f40273dd;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
58;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
59;ignorado;Pesquisador vinculado a outra universidade.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
60;atualizado;;fc439d74-48b3-4c7b-9397-fcdc5b712048;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
61;atualizado;;9ad5a89b-c785-45ee-a10c-4661b2181b16;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
62;atualizado;;86855a7a-2413-4678-aabd-93d0cf316b04;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
63;atualizado;;fff75479-f76c-429a-8d0f-e4b1f038b280;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
64;atualizado;;52f66746-b991-473d-9e29-4d2cb001b6ee;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
65;atualizado;;5558831e-51ee-4f6d-9af3-e795cf739462;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
66;atualizado;;5b66cfcd-c61c-46ef-a903-1c287c612663;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
67;atualizado;;e4158972-3525-4a36-95ac-d67df7f2708d;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
68;atualizado;;d87e96e1-3c97-4388-826c-66fa3d869281;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
69;atualizado;;f99c93de-7cf4-4210-8c5c-df4e901ced9a;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
70;atualizado;;7dd77920-8241-41f2-801f-3d2d0f3c3af2;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
71;atualizado;;348513e3-e64a-478d-8d63-34484630dcc7;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
72;atualizado;;6898eafe-fecc-490e-b313-ba60627dfb72;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
