code,rating
32025017002P2,5
31004016041P5,5
26001012014P4,4
28001010019P5,5
22001018084P1,5
24009016031P1,4
30001013030P1,5
31003010052P4,5
52001016065P1,4
20001010028P9,4
32001010049P0,7
15001016063P4,5
24001015052P8,5
25001019057P2,5
42003016032P0,5
40001016053P0,4
42001013049P8,6
42001013096P6,6
31001017088P2,7
31001017172P3,4
31001017103P1,6
23001011024P1,5
41001010048P2,5
41001010064P8,5
42002010161P2,5
32006012036P7,4
32002017039P0,4
53001010042P8,5
53001010101P4,5
33004056090P3,5
33004056082P0,5
33003017095P7,6
53005015003P4,3
50014013001P9*,3
33072019003P1,5
33002010097P3,5
33002010249P8,6
33002045014P7,7
30011019103P0,5
13012002001P6,2
33245010001P7,4
25019015002P6,4
33248010001P0,4
31040012004P4,4
41002016165P1,5
12001015172P0,4
28001010077P5,5
25001019085P6,5
31001017142P7,5
31001017150P0,5
23001011052P5,5
22002014011P0,3
42007011021P4,5
41004019005P7,5
41002016005P4,6
41002016010P8,4
41002016014P3,5
40004015076P9,4
32025017003P9,4
15006018014P5,3
31004016039P0,5
31004016162P7,5
11001011075P1,3
28001010035P0,5
28001010030P9,4
28001010054P5,5
28001010026P1,4
22001018078P1,4
30001013024P1,4
31003010038P1,4
52001016024P3,4
52001016108P2,4
32005016038P3,5
20001010045P0,4
32001010051P4,7
32001010058P9,6
32007019028P0,4
15001016055P1,6
24001015056P3*,4
24001015078P7,1
24001015044P5,5
25001019157P7,4
42003016044P9,4
40001016055P2,5
42001013093P7,5
42001013055P8,6
42001013044P6,7
31001017157P4,5
31001017089P9,7
31001017175P2,4
31001017072P9,5
23001011044P2,4
23001011067P2,4
29007003009P1,3
32018010042P1,4
32018010047P3,3
42002010037P0,5
32006012075P2,4
32006012071P7,4
53001010103P7,5
53001010040P5,5
53001010057P5,4
33004013063P4,6
33004013066P3,4
40076016008P9,3
40076016004P3,4
40076016003P7,4
33003017094P0,6
33003017093P4,6
33003017077P9,7
33009015086P6,4
31021018003P0,6
31021018004P7,5
33002010200P9,6
33002010198P4,5
33002010203P8,6
35009004001P0,4
33313008001P0,3
22008012075P7,4
32025017007P4,3
28001010174P0,4
28001010092P4,4
50001019178P5,3
15001016173P4,3
31001017170P0,4
40076016006P6,4
31021018024P8,4
31021018020P2,4
31009018001P5,7
42004012019P0,4
33010013010P4,5
33011010001P5,5
33305005002P8,3
31013015001P9,6
31005012002P6,7
41002016011P4,4
40002012014P0,5
40004015011P4,6
40005011008P0,5
31004016022P0,5
23002018003P0,4
28007018010P2,3
33144010001P7,6
26001012002P6,6
12001015006P2,5
28001010002P5,4
22001018002P5,7
24009016017P9,4
30001013105P1*,5
30001013005P7,5
31003010002P7,6
52001016009P4,6
32005016008P7,4
32004010046P3,4
20001010013P1,5
32001010002P3,7
50001019012P0,4
15001016037P3,6
24001015002P0,4
25001019002P3,7
42003016033P7,5
21001014016P3,5
40001016020P4,6
42001013002P1,7
31001017118P9,5
31001017002P0,7
31001017174P6,4
23001011010P0,5
25003011024P0,4
27001016008P7,5
41001010020P0,6
33001014011P5,4
42002010019P1,5
32006012018P9,5
32002017025P0,5
53001010002P6,5
33004080051P4,5
33015015001P7,7
33004137063P6,5
33003017002P9,7
33052018007P3,4
32011016010P8*,4
32003013013P8,4
33009015180P2,3
40043010003P2,3
33051011007P7,5
33002010004P5,7
33002010002P2,7
33002045002P9,7
40006018172P0,4
31009018003P8,5
31010016028P5,6
41006011014P9,4
42004012013P2,6
42004012001P4,7
52010015104P2,5
12002011003P0,6
12002011001P7,4
12002011002P3,4
12002011004P6,5
33120013001P4,5
31057012001P1,5
15027007039P2,4
32008015008P6,4
42005019002P7,6
43028004001P0*,3
28002016002P8,5
28002016011P7,3
40002012019P2,4
40004015026P1,5
40004015005P4,7
20002017009P0,4
31033016014P7,5
24004014011P9,5
31004016055P6,4
31004016047P3,5
28006011009P8,4
28007018011P9,6
28007018006P5*,4
28007018004P2,4
33144010017P0,5
11001011001P8,2
